co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi,timestamp
77.4,0.0,0.07,48.15,0.27,11.44,37.85,0.0,2,1782784800
77.71,0.01,0.07,49.28,0.26,11.46,37.86,0.0,2,1782788400
77.68,0.01,0.05,50.02,0.26,11.35,38.19,0.0,2,1782792000
77.17,0.01,0.05,50.0,0.26,11.36,39.63,0.0,2,1782795600
76.57,0.01,0.04,49.31,0.27,11.38,41.34,0.0,2,1782799200
75.64,0.01,0.04,48.17,0.27,11.31,42.68,0.0,2,1782802800
74.88,0.01,0.04,46.84,0.27,11.14,43.11,0.0,2,1782806400
74.21,0.01,0.04,45.82,0.27,10.85,42.58,0.0,2,1782810000
74.04,0.01,0.04,45.15,0.27,10.53,41.32,0.0,2,1782813600
73.67,0.01,0.04,44.52,0.28,10.48,40.8,0.0,2,1782817200
73.22,0.01,0.04,43.91,0.29,10.84,41.91,0.0,2,1782820800
73.07,0.01,0.05,43.47,0.31,11.56,44.74,0.0,2,1782824400
72.76,0.0,0.06,43.15,0.32,12.5,48.29,0.0,2,1782828000
72.48,0.0,0.07,43.04,0.34,13.62,52.67,0.0,3,1782831600
72.3,0.0,0.07,43.29,0.35,14.63,56.82,0.0,3,1782835200
72.65,0.0,0.07,44.07,0.36,15.64,60.85,0.0,3,1782838800
73.25,0.0,0.07,45.31,0.37,16.86,66.08,0.0,3,1782842400
73.7,0.0,0.07,46.67,0.39,18.24,72.56,0.0,3,1782846000
74.04,0.0,0.08,47.66,0.4,19.6,79.63,0.0,3,1782849600
73.81,0.0,0.08,47.92,0.41,20.66,85.76,0.0,3,1782853200
73.04,0.0,0.08,47.33,0.41,21.08,87.76,0.0,3,1782856800
72.08,0.0,0.08,46.44,0.41,20.79,86.17,0.0,3,1782860400
71.24,0.0,0.08,45.52,0.4,20.34,84.3,0.0,3,1782864000
70.82,0.0,0.08,45.04,0.4,19.92,82.14,0.0,3,1782867600
70.88,0.0,0.08,45.19,0.39,19.4,78.82,0.0,3,1782871200
71.23,0.0,0.07,45.66,0.38,18.89,75.09,0.0,3,1782874800
71.18,0.01,0.07,46.0,0.37,18.51,72.18,0.0,3,1782878400
70.71,0.01,0.06,45.59,0.38,18.79,72.26,0.0,3,1782882000
69.76,0.01,0.06,44.62,0.39,19.36,74.67,0.0,3,1782885600
68.86,0.01,0.05,43.5,0.4,19.96,76.82,0.0,3,1782889200
68.02,0.01,0.05,42.45,0.41,20.22,77.02,0.0,3,1782892800
67.61,0.01,0.05,41.65,0.4,20.09,75.9,0.0,3,1782896400
67.75,0.01,0.04,41.24,0.4,19.77,75.62,0.0,3,1782900000
67.95,0.01,0.04,40.85,0.41,19.51,75.97,0.0,3,1782903600
67.93,0.01,0.05,40.37,0.41,19.41,76.35,0.0,3,1782907200
67.96,0.01,0.06,39.95,0.42,19.3,77.13,0.0,3,1782910800
67.85,0.0,0.07,39.52,0.42,18.91,76.72,0.0,3,1782914400
67.82,0.0,0.08,39.17,0.43,18.45,75.5,0.0,3,1782918000
67.86,0.0,0.08,39.11,0.43,17.98,73.56,0.0,3,1782921600
68.16,0.0,0.09,39.28,0.44,18.05,74.25,0.0,3,1782925200
68.18,0.0,0.09,39.14,0.45,18.79,79.17,0.0,3,1782928800
67.68,0.0,0.09,38.63,0.47,19.81,85.89,0.0,3,1782932400
66.89,0.0,0.1,38.09,0.48,20.54,89.43,0.0,3,1782936000
66.4,0.0,0.1,37.93,0.48,20.6,88.24,0.0,3,1782939600
66.26,0.0,0.1,38.46,0.47,20.0,81.79,0.0,3,1782943200
66.71,0.0,0.09,39.73,0.45,18.89,74.26,0.0,3,1782946800
67.38,0.0,0.09,41.2,0.44,17.85,68.91,0.0,3,1782950400
68.02,0.0,0.08,42.16,0.41,17.88,67.61,0.0,3,1782954000
68.47,0.0,0.08,43.3,0.4,17.25,64.63,0.0,3,1782957600
68.57,0.0,0.08,44.0,0.39,16.79,61.07,0.0,3,1782961200
68.61,0.01,0.08,44.53,0.38,16.6,59.87,0.0,3,1782964800
68.61,0.01,0.07,44.85,0.38,16.86,61.69,0.0,3,1782968400
68.84,0.01,0.06,45.24,0.38,17.28,64.14,0.0,3,1782972000
69.03,0.01,0.05,45.53,0.38,17.75,65.41,0.0,3,1782975600
69.27,0.01,0.05,45.43,0.38,18.37,67.59,0.0,3,1782979200
69.34,0.01,0.05,45.09,0.39,18.92,70.68,0.0,3,1782982800
69.52,0.01,0.04,44.96,0.4,19.14,73.18,0.0,3,1782986400
69.8,0.01,0.05,45.01,0.4,18.86,73.99,0.0,3,1782990000
70.13,0.01,0.05,45.3,0.4,18.31,72.89,0.0,3,1782993600
70.66,0.0,0.06,45.78,0.4,17.65,70.66,0.0,3,1782997200
71.2,0.0,0.07,46.23,0.39,17.01,68.2,0.0,3,1783000800
71.39,0.0,0.07,46.39,0.4,16.79,68.16,0.0,3,1783004400
71.23,0.0,0.08,46.11,0.41,16.84,70.03,0.0,3,1783008000
71.13,0.0,0.08,45.74,0.42,17.18,73.88,0.0,3,1783011600
71.26,0.0,0.08,45.5,0.43,17.55,77.54,0.0,3,1783015200
71.53,0.0,0.08,45.59,0.43,17.54,78.83,0.0,3,1783018800
71.88,0.0,0.08,45.73,0.43,17.48,79.85,0.0,3,1783022400
71.77,0.0,0.08,45.49,0.44,17.65,81.08,0.0,3,1783026000
71.19,0.0,0.08,44.89,0.46,17.89,79.01,0.0,3,1783029600
70.58,0.0,0.08,44.28,0.46,17.94,75.26,0.0,3,1783033200
69.98,0.0,0.08,43.86,0.45,17.89,72.51,0.0,3,1783036800
69.82,0.0,0.08,43.89,0.45,17.78,71.16,0.0,3,1783040400
69.64,0.0,0.09,44.19,0.44,17.7,70.96,0.0,3,1783044000
69.61,0.01,0.09,44.58,0.44,17.61,70.62,0.0,3,1783047600
69.68,0.01,0.07,45.14,0.43,17.48,70.53,0.0,3,1783051200
69.9,0.01,0.06,45.82,0.42,17.37,70.52,0.0,3,1783054800
70.28,0.01,0.05,46.58,0.4,17.27,70.35,0.0,3,1783058400
70.67,0.01,0.05,47.17,0.38,17.22,71.14,0.0,3,1783062000
70.93,0.01,0.04,46.96,0.38,17.43,73.61,0.0,3,1783065600
70.63,0.01,0.04,45.85,0.38,17.99,77.82,0.0,3,1783069200
69.96,0.01,0.04,44.04,0.4,19.02,84.22,0.0,3,1783072800
69.09,0.01,0.04,41.94,0.42,20.24,91.52,0.0,3,1783076400
68.45,0.01,0.05,40.59,0.44,21.07,96.21,0.0,3,1783080000
68.59,0.01,0.06,40.49,0.44,21.26,97.12,0.0,3,1783083600
69.28,0.0,0.07,41.48,0.44,20.88,94.82,0.0,3,1783087200
70.4,0.0,0.08,42.86,0.42,20.3,91.25,0.0,3,1783090800
70.91,0.0,0.08,43.99,0.41,19.74,87.39,0.0,3,1783094400
70.81,0.0,0.08,44.13,0.42,19.44,85.13,0.0,3,1783098000
70.13,0.0,0.08,43.26,0.44,19.43,84.71,0.0,3,1783101600
69.3,0.0,0.09,42.43,0.46,19.3,82.06,0.0,3,1783105200
68.72,0.0,0.09,42.03,0.47,19.23,79.45,0.0,3,1783108800
68.52,0.0,0.09,41.86,0.47,19.49,79.6,0.0,3,1783112400
68.31,0.0,0.09,41.81,0.47,19.84,83.12,0.0,3,1783116000
68.07,0.0,0.1,41.78,0.48,20.01,86.29,0.0,3,1783119600
67.91,0.0,0.1,41.8,0.48,20.13,88.17,0.0,3,1783123200
67.77,0.0,0.09,42.27,0.48,20.28,87.66,0.0,3,1783126800
67.87,0.0,0.1,42.97,0.47,20.73,88.69,0.0,3,1783130400
68.07,0.0,0.1,43.59,0.47,21.31,91.86,0.0,3,1783134000
68.33,0.01,0.09,44.25,0.47,21.75,97.5,0.0,3,1783137600
68.25,0.01,0.07,44.53,0.46,22.08,102.71,0.0,4,1783141200
68.26,0.01,0.06,44.34,0.46,22.31,106.11,0.0,4,1783144800
68.14,0.01,0.06,44.01,0.45,22.37,108.39,0.0,4,1783148400
68.15,0.01,0.05,43.68,0.44,22.17,108.55,0.0,4,1783152000
68.19,0.01,0.05,43.5,0.42,21.76,106.87,0.0,4,1783155600
68.42,0.01,0.05,43.17,0.42,21.46,105.6,0.0,4,1783159200
68.1,0.01,0.05,42.19,0.43,21.53,106.73,0.0,4,1783162800
67.56,0.01,0.06,40.81,0.45,21.95,109.91,0.0,4,1783166400
67.39,0.01,0.07,39.66,0.47,22.45,113.23,0.0,4,1783170000
67.21,0.0,0.09,38.96,0.49,22.75,115.09,0.0,4,1783173600
67.24,0.0,0.1,38.24,0.51,22.93,115.96,0.0,4,1783177200
66.92,0.0,0.1,37.26,0.53,23.05,113.82,0.0,4,1783180800
66.63,0.0,0.11,36.56,0.55,23.4,113.53,0.0,4,1783184400
66.48,0.0,0.11,36.54,0.56,23.98,116.63,0.0,4,1783188000
66.71,0.0,0.11,37.34,0.55,24.72,121.06,0.0,4,1783191600
67.14,0.0,0.11,38.65,0.54,25.78,126.13,0.0,4,1783195200
67.45,0.0,0.11,39.69,0.54,26.8,130.41,0.0,4,1783198800
67.84,0.0,0.11,40.53,0.55,27.71,138.23,0.0,4,1783202400
67.8,0.0,0.11,40.98,0.56,28.17,144.27,0.0,4,1783206000
67.84,0.0,0.11,41.23,0.57,28.54,148.1,0.0,4,1783209600
67.82,0.0,0.1,41.46,0.58,28.82,151.01,0.0,4,1783213200
67.64,0.0,0.11,41.43,0.58,28.81,151.61,0.0,4,1783216800
67.42,0.01,0.1,41.13,0.59,28.51,148.47,0.0,4,1783220400
67.2,0.01,0.1,40.98,0.58,28.21,145.3,0.0,4,1783224000
66.91,0.01,0.08,40.94,0.57,28.08,145.52,0.0,4,1783227600
66.69,0.01,0.07,40.95,0.57,28.01,146.16,0.0,4,1783231200
66.86,0.01,0.06,41.18,0.56,28.11,146.67,0.0,4,1783234800
67.33,0.01,0.06,41.43,0.54,28.25,146.88,0.0,4,1783238400
67.6,0.01,0.06,41.31,0.53,28.21,146.08,0.0,4,1783242000
67.62,0.01,0.05,40.67,0.53,27.97,143.98,0.0,4,1783245600
67.15,0.01,0.06,39.68,0.55,27.51,140.05,0.0,4,1783249200
66.5,0.01,0.06,38.84,0.57,27.19,136.38,0.0,4,1783252800
66.15,0.01,0.08,38.43,0.6,27.1,134.18,0.0,4,1783256400
66.1,0.0,0.1,38.42,0.62,27.11,132.42,0.0,4,1783260000
66.39,0.0,0.11,38.91,0.63,27.24,131.53,0.0,4,1783263600
67.12,0.0,0.11,39.99,0.63,27.51,131.88,0.0,4,1783267200
68.29,0.0,0.11,41.52,0.63,27.98,133.74,0.0,4,1783270800
69.43,0.0,0.11,43.08,0.62,28.46,135.55,0.0,4,1783274400
